"CourseID","Days","Times","Location","Professor"
"PSTAT 5A","TR","8-915","CHEMISTRY 1179","Swenson"
"PSTAT 5A","MWF","2-250","EMBARCADERO HALL","Wainwright"
"PSTAT 5H","M","11-1150","GIRVETZ 2127","Meiring"
"PSTAT 8","TR","11-1215","HSSB 1173","Solis"
"PSTAT 10","TR","8-915","IV THEATRE 1","Ravat"
"PSTAT 105","MW","1230-145","CHEMISTRY 1171","Carter"
"PSTAT 115","TR","8-915","HSSB 1173","Targino"
"PSTAT 120A","MWF","12-1250","LOTTE LEHMANN CONCERT HALL","Wainwright"
"PSTAT 120A","TR","2-315","TD-W 1701","Coburn"
